软件架构设计:大型网站技术架构与业务架构融合之道,https://img3.doubanio.com/view/subject/s/public/s33549340.jpg,66.1
Orange'S:一个操作系统的实现,https://img9.doubanio.com/view/subject/s/public/s3788445.jpg,57.8
利用Python进行数据分析（原书第2版）,https://img1.doubanio.com/view/subject/s/public/s33711257.jpg,98.1
代码整洁之道,https://img9.doubanio.com/view/subject/s/public/s33634755.jpg,82.9
计算机网络（原书第7版）:自顶向下方法,https://img1.doubanio.com/view/subject/s/public/s29825217.jpg,69.1
计算机是怎样跑起来的,https://img2.doubanio.com/view/subject/s/public/s33849893.jpg,50.0
人月神话(40周年中文纪念版):软件工程师经典读本不可错过的名著,https://img2.doubanio.com/view/subject/s/public/s28040623.jpg,60.1
数据结构与算法分析:C语言描述,https://img2.doubanio.com/view/subject/s/public/s28015501.jpg,25.7
程序员的思维修炼:开发认知潜能的九堂课,https://img1.doubanio.com/view/subject/s/public/s4548399.jpg,32.7
HeadFirstHTML与CSS（第2版）,https://img1.doubanio.com/view/subject/s/public/s28988547.jpg,79.6
TheAWKProgrammingLanguage,https://img9.doubanio.com/view/subject/s/public/s3252374.jpg,424.0
Python数据科学手册,https://img1.doubanio.com/view/subject/s/public/s29667618.jpg,91.2
数据库系统概念:（原书第6版）,https://img2.doubanio.com/view/subject/s/public/s8958042.jpg,-1
汇编语言（第4版）,https://img9.doubanio.com/view/subject/s/public/s33627655.jpg,49.0
深入理解Java虚拟机（第3版）:JVM高级特性与最佳实践,https://img9.doubanio.com/view/subject/s/public/s33531736.jpg,106.0
什么塑造了今天的编程世界:漫画编程历史大事件（2022年周历版）,https://img9.doubanio.com/view/subject/s/public/s33996575.jpg,134.82
Python3网络爬虫开发实战第2版,https://img1.doubanio.com/view/subject/s/public/s34057567.jpg,117.0
C专家编程,https://img9.doubanio.com/view/subject/s/public/s5886086.jpg,33.5
计算机程序设计艺术・卷1:基本算法（第3版）,https://img9.doubanio.com/view/subject/s/public/s28357866.jpg,-1
Python3网络爬虫开发实战,https://img3.doubanio.com/view/subject/s/public/s29725690.jpg,89.1
Python工匠:案例、技巧与工程实践,https://img9.doubanio.com/view/subject/s/public/s34093255.jpg,83.5
GitHub入门与实践,https://img9.doubanio.com/view/subject/s/public/s28147406.jpg,32.7
重构:改善既有代码的设计,https://img3.doubanio.com/view/subject/s/public/s4157180.jpg,57.8
Java并发编程实战,https://img2.doubanio.com/view/subject/s/public/s7663093.jpg,56.9
算法导论（原书第2版）,https://img1.doubanio.com/view/subject/s/public/s1959967.jpg,70.1
